name,source_facility_type,city,full_address,postal_code,provider
Alonsa School #1613,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Alonsa,Box 6,R0H 0A0,Province of Manitoba
Glenella School #1063,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Glenella,Box 59,R0J 0V0,Province of Manitoba
Grass River School #1623,K to 12 English,Glenella,Grass River Colony Box 160,R0J 0V0,Province of Manitoba
Mccreary School #1222,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Mccreary,Box 220,R0J 1B0,Province of Manitoba
Parkview School #1900,K to 12 English,Riding Mountain,Parkview Colony Box 60,R0J 1T0,Province of Manitoba
Ste. Rose School #1335,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Ste Rose Du Lac,Box 129,R0L 1S0,Province of Manitoba
cole Laurier #1860,M to 8 Early Immersion,Laurier,Case Postale 100,R0J 1A0,Province of Manitoba
Maple Leaf Elementary School #1919,"K to 4 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Morden,225 - 12th Street,R6M 1Z3,Province of Manitoba
Minnewasta School #2029,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Morden,1 Academy Drive,R6M 1Z4,Province of Manitoba
Morden Adult Education Centre #2171,9 to 12 English,Morden,200-30 Stephen Street,R6M 2G3,Province of Manitoba
Morden Collegiate #1428,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Morden,345 - 5th Street,R6M 1Z1,Province of Manitoba
Morden Middle School #1885,"5 to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Morden,150 Wardrop Street,R6M 1Z2,Province of Manitoba
F. W. Gilbert School #1429,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Pinawa,Box 160,R0E 1L0,Province of Manitoba
Pinawa Secondary School #1905,"7 to 12 English, French: Communication and Culture - Grades 4-12",Pinawa,Box 580,R0E 1L0,Province of Manitoba
Gray Academy Of Jewish Education #2230,"N to 12 Early Start French, English, French: Communication and Culture - Grades 4-12, Hebrew",Winnipeg,100 - 123 Doncaster Street,R3N 2B4,Province of Manitoba
Andrew Mynarski V.C. School #1061,7 to 9 English,Winnipeg,1111 Machray Avenue,R2X 1H6,Province of Manitoba
Argyle Alternative High School #1060,10 to 12 English,Winnipeg,30 Argyle Street,R3B 0H4,Province of Manitoba
Brock-Corydon School #1891,"N to 6 Early Start French, English, French: Communication and Culture - Grades 4-12, Hebrew",Winnipeg,1510 Corydon Avenue,R3N 0J6,Province of Manitoba
Carpathia School #1272,"N to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,300 Carpathia Road,R3N 1T3,Province of Manitoba
Cecil Rhodes School #1113,"N to 9 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1570 Elgin Avenue West,R3E 1C2,Province of Manitoba
Champlain School #1853,"N to 6 English, French: Communication and Culture - Grades 4-12",Winnipeg,275 Church Avenue,R2W 1B7,Province of Manitoba
Children Of The Earth High School #2050,9 to 12 English,Winnipeg,100 Salter Street,R2W 4J6,Province of Manitoba
Churchill High School #1715,"7 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,510 Hay Street,R3L 2L6,Province of Manitoba
Clifton School #1541,"N to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1070 Clifton Street,R3E 2T7,Province of Manitoba
Clinical Support Services #1127,K to 12 English,Winnipeg,1075 Wellington Avenue,R3E 0J7,Province of Manitoba
Collge Churchill #2076,"7 to 12 Early Immersion, Late Immersion",Winnipeg,510 Rue Hay,R3L 2L6,Province of Manitoba
Daniel Mcintyre Collegiate Institute #1701,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,720 Alverstone Street,R3E 2H1,Province of Manitoba
David Livingstone School #1775,N to 8 English,Winnipeg,270 Flora Avenue,R2W 2P9,Province of Manitoba
Diagnostic Learning Centre #1926,K to 6 English,Winnipeg,C/O Ashland School 170 Ashland Ave,R3L 1L1,Province of Manitoba
Dufferin School #1767,N to 6 English,Winnipeg,545 Alexander Avenue,R3A 0P1,Province of Manitoba
Earl Grey School #1022,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12, Spanish",Winnipeg,340 Cockburn Street North,R3M 2P5,Province of Manitoba
Elmwood High #1867,7 to 12 English,Winnipeg,505 Chalmers Avenue,R2L 0G4,Province of Manitoba
Faraday School #1854,N to 6 English,Winnipeg,405 Parr Street,R2W 5G1,Province of Manitoba
Fort Rouge School #1436,N to 6 English,Winnipeg,115 River Avenue,R3L 0A8,Province of Manitoba
Garden Grove School #1166,"N to 6 Early Immersion, English",Winnipeg,2340 Burrows Avenue,R2R 1W1,Province of Manitoba
