,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
20349,Abc Childcare Centre,32340 Mouat Dr,32340 Mouat Dr,32340,mouat dr,,Abbotsford,,Province of British Columbia
23967,Altamont Child Development Centre Inc.,2879 Marine Drive,2879 Marine Drive,2879,marine drive,,West Vancouver,,Province of British Columbia
6147,GARDERIE LE MONDE DE L'ENFANT INC.,"880, avenue Ogilvy",880 avenue Ogilvy,880,avenue ogilvy,,Montréal,,Province of Quèbec
13106,Reaching for Rainbows,,nan,31,King Street,,Picton,ON,Province of Ontario
4753,Dauphin Magical Horizons Day Care Center Inc.,"135 6th Avenue (Ave) SW Dauphin, MB",135 6th avenue sw ,135,6th avenue sw,,,,Province of Manitoba
23057,Marble Hill Childcare,7105B Tahoma Pl,7105B Tahoma Pl,7105b,tahoma pl,,Chilliwack,,Province of British Columbia
10503,Family Day Care Services - Holy Spirit Before & After School Program,,nan,25,Bloomsbury Avenue,,Brampton,ON,Province of Ontario
23227,Kidzee Land Child Care,14552 88 Ave,14552 88 Ave,14552,88 ave,,Surrey,,Province of British Columbia
24099,Bugs N Butterflies,224 Potlatch St,224 Potlatch St,224,potlatch st,,Parksville,,Province of British Columbia
7895,CENTRE DE LA PETITE ENFANCE LA RUCHE MAGIQUE INC.,"1016, rue Charcot",1016 rue Charcot,1016,rue charcot,,Boucherville,,Province of Quèbec
13779,The Fonthill Baptist Church Nursery School,,nan,1,Church Hill Street,,Fonthill,ON,Province of Ontario
1007,WEE WILD ONES,10 - 11A ST. NE,10 11A ST NE,10,11a st ne,,CALGARY,,Province of Alberta
9168,As-Sadiq Day Care,,nan,9000,Bathurst Street,,Thornhill,ON,Province of Ontario
25045,Redvers Early Learning and Child Care Centres Inc,"#7 Service Road, Box 75, Redvers, SK, S0C 2H0",#7 service road ,#7,service road,,,,Province of Saskatchewan
749,PLAYSCHOOL,A 223 Main Street Sackville E4L 3A7 (506) 536-1837,a 223 main street ,223,main street,,,,Province of New Brunswick
4728,Childcare - Family Access Network Inc.,"159 Fosberry Street Laurier, MB",159 fosberry street ,159,fosberry street,,,,Province of Manitoba
3239,TCS GREAT BEGINNINGS,21410 HWY 18,21410 HWY 18,21410,hwy 18,,THORHILD,,Province of Alberta
23464,Little Bambi's Daycare,203 Davis Cres,203 Davis Cres,203,davis cres,,Aldergrove,,Province of British Columbia
10137,Programme Petits pas √† trois √©cole Marius-Barbeau,,nan,1345,Nottinghill Avenue,,Ottawa,ON,Province of Ontario
13472,St. George's School Age Child Care Programme (Facility #11987),,nan,70,Princess Anne Crescent,,Toronto,ON,Province of Ontario
14681,Lakefield YMCA-St. Pauls Schoolage Program,,nan,2,Grant Avenue,,Selwyn,ON,Province of Ontario
12939,Perth Early Learning Centre,,nan,14,Ruskin Avenue,,Toronto,ON,Province of Ontario
18131,Celine's Daycare,keefer rd Thorold ON,keefer rd ,,keefer rd,,Thorold,Ontario,GoDayCare.com
7317,CENTRE DE LA PETITE ENFANCE YOUPI,"475, boulevard de l'Avenir",475 boulevard de l'Avenir,475,boulevard de l'avenir,,Laval,,Province of Quèbec
17423,Munchkinz Preschool,260 The Queensway Etobicoke ON,260 the queensway ,260,the queensway,,Etobicoke,Ontario,GoDayCare.com
10006,Churchill Chums School Age Child Care Centre,,nan,188,Churchill Avenue,,Toronto,ON,Province of Ontario
5350,JARDIN D'ENFANTS DUROCHER,"390, rue Arago Ouest",390 rue Arago Ouest,390,rue arago ouest,,Québec,,Province of Quèbec
15697,SunDance Day Care,226 Mt. Sundance Cres. West Lethbridge AB,226 mt sundance cres west ,226,mt sundance cres west,,Lethbridge,Alberta,GoDayCare.com
18499,Happy Smiles Daycare,maria Lasalle QC,maria ,,,,Lasalle,Quebec,GoDayCare.com
9445,Commonwealth YMCA Child Development Centre,,nan,166,Pearl Street,,Brockville,ON,Province of Ontario
22210,Sunnyside Daycare,5211 Cottonwood Rd,5211 Cottonwood Rd,5211,cottonwood rd,,Fort Nelson,,Province of British Columbia
130,YWCA Afterschool Program-NJ MacPherson Senior 148,none,none,,,,Yellowknife,,Northwest Territories
20476,Happy Campers - Otter Point,2080 Otter Point Rd,2080 Otter Point Rd,2080,otter point rd,,Sooke,,Province of British Columbia
16871,Aurora Nursery School,33 Mosley Street Aurora ON,33 mosley street ,33,mosley street,,Aurora,Ontario,GoDayCare.com
11805,SCHOOL AGE PROGRAM - EMILY CARR PUBLIC SCHOOL,,nan,44,Hawthorne Road,,London,ON,Province of Ontario
4923,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
25051,Toys FDH,"15 Cedar Cres, Y1A 4P2",15 Cedar Cres,15,cedar cres,,,,Yukon Territory
17555,Lacey Szabo's Private In Home Day Care,21st A. Ave Hanover ON,21st a ave ,,21st a ave,,Hanover,Ontario,GoDayCare.com
14275,Valleyway Day Care Centre- Mary Ward Centre,,nan,2999,Dorchester Road,,Niagara Falls,ON,Province of Ontario
2743,THE CALGARY JEWISH ACADEMY,6700 KOOTENAY ST SW,6700 KOOTENAY ST SW,6700,kootenay st sw,,CALGARY,,Province of Alberta
18486,Angel's Keeper Daycare,Provost Lachine QC,provost ,,,,Lachine,Quebec,GoDayCare.com
14189,Holy Name Child Care,,nan,65,Spring Hill Drive,,King City,ON,Province of Ontario
19079,Project Elm (Upper Musquodoboit),8416 HIGHWAY 224 HWY.,8416 HIGHWAY 224 HWY,8416,highway 224 hwy,,UPPER MUSQUODOBOIT,,Province of Nova Scotia
14769,William Burgess Jr Y Day Care (YMCA),,nan,100,Torrens Avenue,,Toronto,ON,Province of Ontario
23222,Green House Studio,737 Wilson St,737 Wilson St,737,wilson st,,Victoria,,Province of British Columbia
6208,GARDERIE LES ÉTOILES,"7571, 17e avenue",7571 17e avenue,7571,17e avenue,,Montréal,,Province of Quèbec
414,Garderie Les P'tites Tornades,64 rue Arlequin Sainte-Marie-Saint-Raphal E8T 1N4 (506) 344-5404,64 rue arlequin ,64,rue arlequin,,,,Province of New Brunswick
13372,S.E.E.D.S. Childcare - St. Marguerite d'Youville,,nan,87,Hanmer Street,,Barrie,ON,Province of Ontario
3180,ACCI - DAYCARE,"134, 85 RAILWAY AVENUE SW",134 85 RAILWAY AVENUE SW,134 85,railway avenue sw,,AIRDRIE,,Province of Alberta
6714,CENTRE EDUCATIF FLEURY INC.,"6365, boulevard Robert",6365 boulevard Robert,6365,boulevard robert,,Saint-Léonard,,Province of Quèbec
20805,Echo Academy,100 - 1605 Sutherland Ave,100 1605 Sutherland Ave,100 1605,sutherland ave,,Kelowna,,Province of British Columbia
8057,GARDERIE IMAGINACTION,"1000, boulevard Taschereau",1000 boulevard Taschereau,1000,boulevard taschereau,,La Prairie,,Province of Quèbec
893,WEE COLLEGE HILDEGARD CAMPUS 1,31 Hildegard Drive Moncton E1G 2G5 (506) 830-2400,31 hildegard drive ,31,hildegard drive,,,,Province of New Brunswick
25090,Kidz Spot FDH,"112 Alsek Road, Y1A 3K6",112 Alsek Road,112,alsek road,,,,Yukon Territory
19389,Kidhub Maple,"56 MAPLE AVENUE, CHARLOTTETOWN",56 maple avenue ,56,maple avenue,,,,Province of Prince Edward Island
7167,GARDERIE LES PETITS SEIGNEURS,"648, rue Drouin",648 rue Drouin,648,rue drouin,,Lévis,,Province of Quèbec
12897,Parkway Day Care BASP-Walpole,,nan,1895,Haldimand Road 55 Road,,Hagersville,ON,Province of Ontario
18017,BEAUTIFUL BEGINNINGS HOME DAYCARE,ROTARY DRIVE Scarborough ON,rotary drive ,,rotary drive,,Scarborough,Ontario,GoDayCare.com
25057,Creative Play Inc.,"312 Strickland Street, Y1A 2K1",312 Strickland Street,312,strickland street,,,,Yukon Territory
22355,Little Orca's Early Learning Centre,415 Pinecrest Rd,415 Pinecrest Rd,415,pinecrest rd,,Campbell River,,Province of British Columbia
16892,Centre Pivot Du Triangle Magique De Rayside Balfour - Ãâcole Ste-Marie,25 Rue Marier Azilda ON,25 rue marier ,25,rue marier,,Azilda,Ontario,GoDayCare.com
17770,Barrhaven - Cecilia's Home Daycare,Kennacraig Pvt. Nepean ON,kennacraig pvt ,,kennacraig pvt,,Nepean,Ontario,GoDayCare.com
20726,Cariboo Clubhouse After School Care & Activity Centre,2075 Balsam Ave,2075 Balsam Ave,2075,balsam ave,,Quesnel,,Province of British Columbia
8675,Little House Montessori School,,nan,140,Maple Street,,Collingwood,ON,Province of Ontario
15073,YMCA Child Care - Park,,nan,217,Main Street,,Grimsby,ON,Province of Ontario
10511,Family Day Care Services - St. Maria Goretti Child Care Centre,,nan,121,Royal Orchard Drive,,Brampton,ON,Province of Ontario
9737,Centennial College East York Day Care (Plains Rd),,nan,175,Plains Road,,Toronto,ON,Province of Ontario
22818,Squamish Waldorf Huckleberry Daycare,38265 Westway Ave,38265 Westway Ave,38265,westway ave,,Squamish,,Province of British Columbia
15762,For Infants Only,Greenwood Drive Spruce Grove AB,greenwood drive ,,greenwood drive,,Spruce Grove,Alberta,GoDayCare.com
8320,CENTRE DE LA PETITE ENFANCE LA P'TITE CABOCHE,"405, rue Coderre",405 rue Coderre,405,rue coderre,,Saint-Jean-sur-Richelieu,,Province of Quèbec
28,AFCHR - Ecole Boreale garde apres ecole,"145 Riverview Drive, Ecole Boreale",145 Riverview Drive Ecole Boreale,145,riverview drive ecole boreale,,Hay River NT,,Northwest Territories
15541,Chabad of Danforth - Beaches,,nan,2273,queen Street,,Toronto,ON,Province of Ontario
15579,Lil Ren's Tot Watch,Cougar Plateau Mews SW Calgary AB,cougar plateau mews sw ,,cougar plateau mews sw,,Calgary,Alberta,GoDayCare.com
11270,Kids & Company Ltd. - Consumers Site,,nan,251,Consumers Road,,Toronto,ON,Province of Ontario
18204,1.2..me...Daycare,Ethel Street Vanier ON,ethel street ,,ethel street,,Vanier,Ontario,GoDayCare.com
16710,Brins De Soleil,15 Inglis St Sydney NS,15 inglis st ,15,inglis st,,Sydney,Nova Scotia,GoDayCare.com
8990,Applewood Montessori Academy & Daycare,,nan,333,Fairhill Avenue,,Brampton,ON,Province of Ontario
6665,GARDERIE LA PETITE MAISON ROUGE,"1701-1703, rue Poirier",1701-1703 rue Poirier,1701-1703,rue poirier,,Saint-Laurent,,Province of Quèbec
334,GARDERIE CHEZ SMARTIES,2175 Route 133 Grand-Barachois E4P 8E8 (506) 874-8857,2175 route 133 ,2175,route 133,,,,Province of New Brunswick
23742,Nena's Day Care,3632 Greentree Lane,3632 Greentree Lane,3632,greentree lane,,North Vancouver,,Province of British Columbia
16662,Microtots Preschool,539 Martin Ave New Glasgow NS,539 martin ave ,539,martin ave,,New Glasgow,Nova Scotia,GoDayCare.com
8396,GARDERIE PRIVÉE INTERNATIONALE STE-CATHERINE,"520, rue Centrale",520 rue Centrale,520,rue centrale,,Sainte-Catherine,,Province of Quèbec
24774,Swift Current Child Care Centre,"287 13th Avenue Northeast, Swift Current, SK, S9H 2V8",287 13th avenue northeast ,287,13th avenue northeast,,,,Province of Saskatchewan
16685,Lower Sackville Nursery School,567 Sackville Dr Sackville NS,567 sackville dr ,567,sackville dr,,Sackville,Nova Scotia,GoDayCare.com
14817,St Thomas Aquinas YMCA Before and After School,,nan,400,Pacific Avenue,,Oshawa,ON,Province of Ontario
3717,MAGIC MOUNTAIN AIRDRIE CROSSING,20 GATEWAY DRIVE NW,20 GATEWAY DRIVE NW,20,gateway drive nw,,AIRDRIE,,Province of Alberta
4285,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
20625,Sondra's Place,2087 Lambert Dr,2087 Lambert Dr,2087,lambert dr,,Courtenay,,Province of British Columbia
16687,Mother Hubbard 'N' Friends Daycare,22 Glendale Ave Sackville NS,22 glendale ave ,22,glendale ave,,Sackville,Nova Scotia,GoDayCare.com
20159,Mickey's Playhouse Family Child Care,1657 Bowser Ave,1657 Bowser Ave,1657,bowser ave,,North Vancouver,,Province of British Columbia
12956,North Side Childcare Service,,nan,16,Regalbuto Street,,Petawawa,ON,Province of Ontario
17257,Babies And Bears Daycare,65 Fourth ave Coniston ON,65 fourth ave ,65,fourth ave,,Coniston,Ontario,GoDayCare.com
15424,YWCA Hamilton - Buchannan Park Before and After School Program,,nan,30,Laurier Avenue,,Hamilton,ON,Province of Ontario
8855,605061 Ontario Ltd. - Best Friends School Age Program,,nan,70,Devins Drive,,Aurora,ON,Province of Ontario
3656,ADVENTURES CHILD CARE 6,950 6 STREET NE,950 6 STREET NE,950,6 street ne,,CALGARY,,Province of Alberta
1493,KEPLER ACADEMY EARLY LEARNING AND CHILDCARE INC.,10123 99 STREET,10123 99 STREET,10123,99 street,,EDMONTON,,Province of Alberta
12637,All Saints Early Learning and Child Care Centre,,nan,4105,Colonial Drive,,Mississauga,ON,Province of Ontario
6646,CENTRE ÉDUCATIF BARRÉ,"2100, rue de Londres",2100 rue de Londres,2100,rue de londres,,Saint-Laurent,,Province of Quèbec
19156,Jubilee Road Children's Centre,6117 JUBILEE RD.,6117 JUBILEE RD,6117,jubilee rd,,HALIFAX,,Province of Nova Scotia
12282,Head Start Montessori,,nan,2235,Sheppard Avenue,,Toronto,ON,Province of Ontario
24680,Tykes and Tots Early Learning Centre - Caswell Hill,"515 - 28th Street West, Saskatoon, SK, S7L 4R5",515 28th street west ,515,28th street west,,,,Province of Saskatchewan
2187,PRESCHOOL 101 INC.,"#20, 20 PANATELLA BLVD. NW",#20 20 PANATELLA BLVD NW,20,panatella blvd nw,#20,CALGARY,,Province of Alberta
8300,GARDERIE LES ARCS-EN-CIEL FRANLOU INC.,"3095, rue Saint-Charles",3095 rue Saint-Charles,3095,rue saint-charles,,Saint-Hyacinthe,,Province of Quèbec
18925,Project ELM Pre-school (Dutch Settlement),780 HIGHWAY 277,780 HIGHWAY 277,780,highway 277,,DUTCH SETTLEMENT,,Province of Nova Scotia
9120,Andrew Fleck Children's Services - Centre √©ducatif Sunflower Child Care Centre,,nan,700,Montreal,,Ottawa,ON,Province of Ontario
20914,SFU Childcare Society (Skyfire),8888 University Dr Simon Fraser University,8888 University Dr Simon Fraser University,8888,university dr,,Burnaby,,Province of British Columbia
4938,"Flin Flon and District Guidance Nursery, Inc.","Ruth Betts Sch. 9 Terrace Avenue (Ave) Flin Flon, MB",ruth betts sch 9 terrace avenue ,9,terrace avenue,,,,Province of Manitoba
11603,Le Club - Woodland,,nan,120,Royal Orchard Boulevard,,Thornhill,ON,Province of Ontario
3569,SEEDS OF S.P.I.C.E. EARLY LEARNING CENTRE INC.,5225 VARSITY DRIVE NW,5225 VARSITY DRIVE NW,5225,varsity drive nw,,CALGARY,,Province of Alberta
3854,SKY OUT OF SCHOOL CARE,2503 ELLWOOD DRIVE SW,2503 ELLWOOD DRIVE SW,2503,ellwood drive sw,,EDMONTON,,Province of Alberta
10177,WNCCC - Service de garde des Louveteaux,,nan,93,Michaud Rue,,Sturgeon Falls,ON,Province of Ontario
6557,L'OASIS DES TOUT P'TITS,"1490, avenue Ducharme",1490 avenue Ducharme,1490,avenue ducharme,,Outremont,,Province of Quèbec
17609,Bilingual Daycare - Located In Keswick,000 Dovedale Dr Keswick ON,000 dovedale dr ,000,dovedale dr,,Keswick,Ontario,GoDayCare.com
3576,EARLY MINDS PRESCHOOL - MAHOGANY,130 MAHOGANY PLAZA SE,130 MAHOGANY PLAZA SE,130,mahogany plaza se,,CALGARY,,Province of Alberta
4140,The Young Men's and Young Women's Christian Association Of Winnipeg Inc.,"Preschool and Infant centre,MPR,Rm 3,gym 99 Highbury Road Winnipeg, MB",preschool and infant centrempr 3 99 highbury road ,99,highbury road,,,,Province of Manitoba
14129,Vincent Massey/Oshawa Before and After School Age Program,,nan,211,Harmony Road,,Oshawa,ON,Province of Ontario
10319,Discovery Early Learning and Care Holy Trinity Site,,nan,1945,Hawthorne Drive,,Sudbury,ON,Province of Ontario
3923,Agassiz Child Care Centre Inc.,"131 Leach Street Winnipeg, MB",131 leach street ,131,leach street,,,,Province of Manitoba
20868,Sweet Pea's Daycare,699 Accacia Ave,699 Accacia Ave,699,accacia ave,,Coquitlam,,Province of British Columbia
14130,Walter E.Harris Before and After School Age Program,,nan,495,Central Park Boulevard,,Oshawa,ON,Province of Ontario
2795,BETHEL DAYCARE BEACON HILL,210 BEACON HILL DRIVE,210 BEACON HILL DRIVE,210,beacon hill drive,,FORT MCMURRAY,,Province of Alberta
8011,CENTRE DE LA PETITE ENFANCE NEZ-À-NEZ,"220, rue Davignon",220 rue Davignon,220,rue davignon,,Granby,,Province of Quèbec
12498,Ottawa Carleton District School Board (Rideau High School Infant Toddler Preschool Program),,nan,815,St.Laurent Boulevard,,Ottawa,ON,Province of Ontario
2771,ASSOCIATION PREMATERNELLE GRANDIR A PETITS PAS,5505 MAGASIN AVENUE,5505 MAGASIN AVENUE,5505,magasin avenue,,BEAUMONT,,Province of Alberta
22553,Fun Planet Childcare And Learning Centre,3540 Mahon Ave,3540 Mahon Ave,3540,mahon ave,,North Vancouver,,Province of British Columbia
12269,NYAD - Guildwood,,nan,225,Livingston Road,,Toronto,ON,Province of Ontario
21966,Bumble Bees & Butterflies Childcare,4008 Best St,4008 Best St,4008,best st,,Terrace,,Province of British Columbia
27,Children First Centre,none,none,,,,Inuvik,,Northwest Territories
3862,KIDSZONE PLAYHOUSE DAYCARE,53 SILVERADO SKIES WAY SW,53 SILVERADO SKIES WAY SW,53,silverado skies way sw,,CALGARY,,Province of Alberta
6325,GARDERIE ÉDUCATIVE LE ROYAUME DE LA MAGIE INC.,"8676, rue Sainte-Claire",8676 rue Sainte-Claire,8676,rue sainte-claire,,Montréal,,Province of Quèbec
19542,Little Harvard Learning Centre Ltd.,6985 142 St,6985 142 St,6985,142 st,,Surrey,,Province of British Columbia
824,Stoney Creek Daycare,419 Stoney Creek Road Pine Glen E1J 0E2 (506) 830-1162,419 stoney creek road ,419,stoney creek road,,,,Province of New Brunswick
16488,Priceless Treasures,73 St. Thomas Line Paradise NL,73 st thomas line ,73,st thomas line,,Paradise,Newfoundland And Labrador,GoDayCare.com
16736,Fox Hollow Child Care Centre,1 Fox Hollow Dr Upper Tantallon NS,1 fox hollow dr ,1,fox hollow dr,,Upper Tantallon,Nova Scotia,GoDayCare.com
23535,Wee Care @ Ecole Robb Road,1909 Robb Rd,1909 Robb Rd,1909,robb rd,,Comox,,Province of British Columbia
4850,Small Endeavors Inc,"Centennial Street Swan Lake, MB",centennial street swan ,,centennial street swan,,,,Province of Manitoba
13501,St. Peter's Pre-School Learning Centre,,nan,240,College Street,,Cobourg,ON,Province of Ontario
22114,Cottontail Cottage Childcare,9003 99 Ave,9003 99 Ave,9003,99 ave,,Fort St. John,,Province of British Columbia
5715,GARDERIE LA PETITE TENDRESSE INC.,"8801, rue Beyries",8801 rue Beyries,8801,rue beyries,,LaSalle,,Province of Quèbec
23921,Daryl-Anne's Family Daycare,10237 125A St,10237 125A St,10237,125a st,,Surrey,,Province of British Columbia
16669,Cumberland YMCA-Oxford Site,Oxford Elementary School Oxford NS,oxford elementary school ,,,,Oxford,Nova Scotia,GoDayCare.com
9482,Busy Hands 'N' Minds Childcare Centre Brampton,,nan,8255,Financial Drive,,Brampton,ON,Province of Ontario
24530,Brenda Venne,"3145 Massey Drive, Saskatoon, SK, S7L 3X7",3145 massey drive ,3145,massey drive,,,,Province of Saskatchewan
18882,North End Community Day Care Centre,5540 RUSSELL ST.,5540 RUSSELL ST,5540,russell st,,HALIFAX,,Province of Nova Scotia
1202,BRIGHTPATH MIDNAPORE,155 MIDRIDGE PLACE SE,155 MIDRIDGE PLACE SE,155,midridge place se,,CALGARY,,Province of Alberta
6113,GARDERIE JEUNES DÉCOUVREURS 1 INC.//YOUNG DISCOVERERS DAYCARE 1 INC.,"5200C, rue de la Savane",5200C rue de la Savane,5200c,rue de la savane,,Montréal,,Province of Quèbec
2361,LIL' DREAMERS PRESCHOOL,11-315 10 AVENUE,11 315 10 AVENUE,11 315,10 avenue,,CARSTAIRS,,Province of Alberta
14570,YMCA SACC - Resurrection,,nan,17,Ravenwood Road,,Brantford,ON,Province of Ontario
15397,YMCA London Rd,,nan,240,London Road,,Sarnia,ON,Province of Ontario
13319,La Coccinelle √âcole la Source,,nan,1445,Duford Promenade,,Ottawa,ON,Province of Ontario
10306,Denlow Community Child Care - North York,,nan,50,Denlow Boulevard,,Toronto,ON,Province of Ontario
6940,LA PETITE ÉCOLE VISION GATINEAU,"1040, boulevard Saint-Joseph",1040 boulevard Saint-Joseph,1040,boulevard saint-joseph,,Gatineau,,Province of Quèbec
20682,Stepping Stones Family Childcare,41709 Reid Rd,41709 Reid Rd,41709,reid rd,,Brackendale,,Province of British Columbia
17464,YMCA - Fort Erie Public School,474 Central Avenue Fort Erie ON,474 central avenue ,474,central avenue,,Fort Erie,Ontario,GoDayCare.com
18355,Addy's In-Home Daycare!,Rue Helenore Aylmer QC,rue helenore ,,rue helenore,,Aylmer,Quebec,GoDayCare.com
14575,YMCA SACC - St. Patrick's,,nan,320,Fairview Drive,,Brantford,ON,Province of Ontario
24423,Tiny Treasures Family Childcare,5241 Miller Rd,5241 Miller Rd,5241,miller rd,,Duncan,,Province of British Columbia
20417,Muziknotes Multiage Childcare,7162 198Th St,7162 198Th St,7162,198th st,,Langley,,Province of British Columbia
23882,Kids In Paradise,25 1835 56Th Street,25 1835 56Th Street,25 1835,56th street,,Delta,,Province of British Columbia
20170,Happiness Starts Here Childcare Centre,18720 66 Ave,18720 66 Ave,18720,66 ave,,Surrey,,Province of British Columbia
3187,DAYSTAR CHILDCARE CENTRE,101 ABRAHAM GATE,101 ABRAHAM GATE,101,abraham gate,,FORT MCMURRAY,,Province of Alberta
322,Garderie chez Cyn,114 chemin Rang 7 Et 8 Kedgwick E8B 1W1 (506) 284-3280,114 chemin rang 7 et 8 ,114,chemin rang 7,,,,Province of New Brunswick
536,Here We Grow Little Learners,57 Boyd Street Salisbury E4J 2A6 (506) 372-9459,57 boyd street ,57,boyd street,,,,Province of New Brunswick
22820,Birch Bear Cubs,1609 Birch Dr,1609 Birch Dr,1609,birch dr,,Revelstoke,,Province of British Columbia
4545,YMCA-YWCA of Winnipeg Tyndall Park Before & After,"Multi purpose room and Gym 2221 King Edward Street Winnipeg, MB",multi purpose and gym 2221 king edward street ,2221,king edward street,,,,Province of Manitoba
14723,Bridlewood Jr. Y. Day Care - (YMCA),,nan,60,Bridlewood Boulevard,,Toronto,ON,Province of Ontario
11215,Kanata Research Park Family Centre - Summer Camp Program,,nan,100,Penfield Drive,,Kanata,ON,Province of Ontario
14242,Viola Desmond Children's Centre,,nan,25,Farrell Road,,Maple,ON,Province of Ontario
22191,Jenina's Family Childcare,162 Walter Hardwick Ave,162 Walter Hardwick Ave,162,walter hardwick ave,,Vancouver,,Province of British Columbia
10130,Garderie Porte-Soleil,,nan,34,Miller Drive,,Georgetown,ON,Province of Ontario
15720,Noralta Little Tykes Lodge,2710 5th Street Nisku AB,2710 5th street ,2710,5th street,,Nisku,Alberta,GoDayCare.com
21839,Owl And Feather Child Care Center,2282 Setchfield Ave,2282 Setchfield Ave,2282,setchfield ave,,Victoria,,Province of British Columbia
10281,Montague Extended Program,,nan,1200,Rosedale Road,,Smith Falls,ON,Province of Ontario
4525,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
2512,THE CHAMPIONS ACADEMY,6814 104 STREET,6814 104 STREET,6814,104 street,,EDMONTON,,Province of Alberta
14785,Dr. Emily Stowe Child Care Centre,,nan,71A,Sandringham Drive,,Courtice,ON,Province of Ontario
23702,Wind And Tide Preschool - Uplands,4471 207A St,4471 207A St,4471,207a st,,Langley,,Province of British Columbia
6780,CPE CHEZ PICOTINE - INSTALLATION FANTOCHE,"722, rue de l'Église",722 rue de l'Église,722,rue de l'église,,Verdun,,Province of Quèbec
23738,Sowing Seeds Preschool,7086 124Th St,7086 124Th St,7086,124th st,,Surrey,,Province of British Columbia
341,Garderie Cooprative de Rogersville,2 65 rue De L'cole Rogersville E4Y 1V4 (506) 623-8069,2 65 rue de l'cole ,2 65,rue de l'cole,,,,Province of New Brunswick
21239,Saxe Point Daycare,477 Joffre St S,477 Joffre St S,477,joffre st s,,Victoria,,Province of British Columbia
9280,Benjamin Bunny Nursery School,,nan,306,Parkside Drive,,Waterdown,ON,Province of Ontario
9576,Lawrence Avenue East Early Learning & Child Care Centre,,nan,3847,Lawrence Avenue,,Toronto,ON,Province of Ontario
3298,CALGARY CHILDCARE CENTRE,201 - 830 1 AVE NE,201 830 1 AVE NE,201,830 1 ave ne,,CALGARY,,Province of Alberta
16731,Little Wonders Child Care Ctr,334 Pictou Rd Truro NS,334 pictou rd ,334,pictou rd,,Truro,Nova Scotia,GoDayCare.com
1347,LEAP N' LEARN WALDEN,260 - 151 WALDEN GATE SE,260 151 WALDEN GATE SE,260 151,walden gate se,,CALGARY,,Province of Alberta
18398,Les Petits Lapins,212 st jean baptiste Chateauguay QC,212 st jean baptiste ,212,st jean baptiste,,Chateauguay,Quebec,GoDayCare.com
8927,Safari Kid Markham,,nan,9610,McCowan Road,,Markham,ON,Province of Ontario
6344,GARDERIE ÉDUCATIVE LES TRÉSORS DE BEAUMONT,"444, avenue Beaumont",444 avenue Beaumont,444,avenue beaumont,,Montréal,,Province of Quèbec
23134,Dragonfly Discovery Children's Centre,818 12Th Street,818 12Th Street,818,12th street,,Invermere,,Province of British Columbia
1926,LITTLE TREASURES INC. - AIRDRIE,"411, 401 COOPERS BLVD SW",411 401 COOPERS BLVD SW,411,401 coopers blvd sw,,AIRDRIE,,Province of Alberta
10361,Altona Road Day Care Centre,,nan,1367,Altona Road,,Pickering,ON,Province of Ontario
11338,Kids Connection at Michaelle Jean,,nan,320,Shirley Drive,,Richmond Hill,ON,Province of Ontario
15029,YMCA Toronto - Escarpment View School Age,,nan,351,Scott Boulevard,,Milton,ON,Province of Ontario
15019,Martin Street YMCA,,nan,184,Martin Street,,Milton,ON,Province of Ontario
6111,GARDERIE JARDIN DES JONQUILLES INC.,"9121, rue Lajeunesse",9121 rue Lajeunesse,9121,rue lajeunesse,,Montréal,,Province of Quèbec
1158,THICKWOOD HEIGHTS PRESCHOOL,110 EYMUNDSON ROAD,110 EYMUNDSON ROAD,110,eymundson road,,FORT MCMURRAY,,Province of Alberta
2287,SHERWOOD PARK KIDS & COMPANY OSC,3/20 2016 SHERWOOD DRIVE,3/20 2016 SHERWOOD DRIVE,3/20 2016,sherwood drive,,SHERWOOD PARK,,Province of Alberta
23355,Kids At G.F. Strong Child Development Centre,4255 Laurel St,4255 Laurel St,4255,laurel st,,Vancouver,,Province of British Columbia
17658,Morellis Day Care,28 northlin park road Lindsay ON,28 northlin park road ,28,northlin park road,,Lindsay,Ontario,GoDayCare.com
6920,GARDERIE UNIK,"300, boulevard Saint-Raymond",300 boulevard Saint-Raymond,300,boulevard saint-raymond,,Gatineau,,Province of Quèbec
8061,GARDERIE LES MILLE ET UN PLAISIRS,"751, chemin de Saint-Jean",751 chemin de Saint-Jean,751,chemin de saint-jean,,La Prairie,,Province of Quèbec
8516,CENTRE DE LA PETITE ENFANCE LA GIROUETTE INC. VOLET INSTALLATION,"2255, rue Bécancour",2255 rue Bécancour,2255,rue bécancour,,Lyster,,Province of Quèbec
18615,Centre De La Petite Enfance ImagÃ©mo,1650 Rue Dominion Sherbrooke QC,1650 rue dominion ,1650,rue dominion,,Sherbrooke,Quebec,GoDayCare.com
19200,Campus Childcare - Preschool I,"Burtons Pond Road, MUN Campus",Burtons Pond Road MUN Campus,,burtons pond road mun campus,,St. John's,,Province of Newfoundland and Labrador
13246,First Years Montessori,,nan,2501,Eaglesfield Drive,,burlington,ON,Province of Ontario
4883,The Carpenter's Montessori School Inc.,"300 - 400 Fort Whyte Way Oak Bluff , MB",300 400 fort whyte way ,300 400,fort whyte way,,,,Province of Manitoba
