,cityprov
2250,"Zhoda MB, Canada"
2251,"Olha MB, Canada"
2252,"Pe Ta Waygamak MB, Canada"
2253,"Verte NB, Canada"
2254,"Limestone MB, Canada"
2255,"Boggy Creek MB, Canada"
2256,"Lanark ON, Canada"
2257,"Birch Portage 184A SK, Canada"
2258,"Kettle Rapids MB, Canada"
2259,"Kendal Game Preserve SK, Canada"
2260,"Narcisse MB, Canada"
2261,"Hamona Historic Site SK, Canada"
2262,"Brenda MB, Canada"
2263,"Hazlet SK, Canada"
2264,"River Park South MB, Canada"
2265,"Pontiac QC, Canada"
2266,"Rackham MB, Canada"
2267,"Bratton SK, Canada"
2268,"Muskowekwan 85 37 SK, Canada"
2269,"Red Sucker 1976 G MB, Canada"
2270,"Aquadeo SK, Canada"
2271,"Harcus MB, Canada"
2272,"Carp ON, Canada"
2273,"Garson ON, Canada"
2274,"Cayley AB, Canada"
2275,"Shaunavon SK, Canada"
2276,"Morton MB, Canada"
2277,"La Rivière MB, Canada"
2278,"Whitecourt AB, Canada"
2279,"York Landing MB, Canada"
2280,"Ebb & Flow MB, Canada"
2281,"Diamond MB, Canada"
2282,"Claresholm AB, Canada"
2283,"Muscowpetung 80 SK, Canada"
2284,"Dysart SK, Canada"
2285,"Pembroke ON, Canada"
2286,"Cap Pel NB, Canada"
2287,"Cat Hills Provincial Forest MB, Canada"
2288,"Algrove SK, Canada"
2289,"Shoal Lake 39A MB, Canada"
2290,"Oak Lake 59A MB, Canada"
2291,"Cowessess 73A SK, Canada"
2292,"Blind River ON, Canada"
2293,"Little Pine 116 SK, Canada"
2294,"Indigo MB, Canada"
2295,"Uno MB, Canada"
2296,"Ochapowace 71 23 SK, Canada"
2297,"Dieppe Place SK, Canada"
2298,"Little Bone 74B SK, Canada"
2299,"Broad Valley MB, Canada"
2300,"Ideal MB, Canada"
2301,"Bracken SK, Canada"
2302,"Cherry Ridge SK, Canada"
2303,"Fort Carlton Provincial Park SK, Canada"
2304,"Hayfield MB, Canada"
2305,"Dutton MB, Canada"
2306,"Brightsand Lake Regional Park SK, Canada"
2307,"Mervin No 499 SK, Canada"
2308,"Siegs Corner MB, Canada"
2309,"Hecla/Grindstone Provincial Park MB, Canada"
2310,"Esk SK, Canada"
2311,"Sifton MB, Canada"
2312,"Dakota Plains MB, Canada"
2313,"Massey Place SK, Canada"
2314,"Fisher Bay Provincial Park MB, Canada"
2315,"Luxton SK, Canada"
2316,"Brunkild MB, Canada"
2317,"Ste Elizabeth MB, Canada"
2318,"Canwood Provincial Forest SK, Canada"
2319,"Emsdale ON, Canada"
2320,"Wasagamack MB, Canada"
2321,"Ochapowace 71 79 SK, Canada"
2322,"Clarkboro SK, Canada"
2323,"Dalmeny SK, Canada"
2324,"Siglunes MB, Canada"
2325,"Bénard MB, Canada"
2326,"CPR SK, Canada"
2327,"Coteau Beach SK, Canada"
2328,"Brokenhead 4 MB, Canada"
2329,"Dufferin No 190 SK, Canada"
2330,"Greenland MB, Canada"
2331,"Swan Lake 7a MB, Canada"
2332,"Grey MB, Canada"
2333,"Bloomfield ON, Canada"
2334,"Chesnaye MB, Canada"
2335,"Ile Des Chenes MB, Canada"
2336,"Duck Lake No 463 SK, Canada"
2337,"Belcher MB, Canada"
2338,"Wallace Lake Provincial Park MB, Canada"
2339,"Wuskwi Sipihk First Nation 3b MB, Canada"
2340,"Ross MB, Canada"
2341,"Glenavon SK, Canada"
2342,"Big Island Landing MB, Canada"
2343,"Nanoose Bay BC, Canada"
2344,"Ebor Wildlife Management Area MB, Canada"
2345,"Golburn SK, Canada"
2346,"Big Quill No 308 SK, Canada"
2347,"Indian Head SK, Canada"
2348,"Spruce Woods Wildlife Management Area MB, Canada"
2349,"Meadowvale MB, Canada"
2350,"Great Bend No 405 SK, Canada"
2351,"Lipton No 217 SK, Canada"
2352,"Cromarty MB, Canada"
2353,"Black River 9 MB, Canada"
2354,"Clark Bridge SK, Canada"
2355,"Druid SK, Canada"
2356,"Norway House 17D 4 MB, Canada"
2357,"Grant SK, Canada"
2358,"Zelena MB, Canada"
2359,"Beardy's & Okemasis 96 & 97 A SK, Canada"
2360,"Orono ON, Canada"
2361,"Baildon SK, Canada"
2362,"Smiths MB, Canada"
2363,"Meadow Lea MB, Canada"
2364,"Fishing Lake SK, Canada"
2365,"Whitesand Estates MB, Canada"
2366,"Trembowla MB, Canada"
2367,"Warsaw ON, Canada"
2368,"Kellett MB, Canada"
2369,"Buttress SK, Canada"
2370,"Minto MB, Canada"
2371,"Greig Lake SK, Canada"
2372,"Sundance MB, Canada"
2373,"Hadashville MB, Canada"
2374,"Thuycholeeni MB, Canada"
2375,"St Johns MB, Canada"
2376,"Sherwood Park AB, Canada"
2377,"Carry The Kettle 76 52 SK, Canada"
2378,"Rolling River 67b MB, Canada"
2379,"Red Sucker Lake 1976 F MB, Canada"
2380,"Inwood Wildlife Management Area MB, Canada"
2381,"Bengough No 40 SK, Canada"
2382,"Brightholme SK, Canada"
2383,"Northern Light SK, Canada"
2384,"Crystal Beach ON, Canada"
2385,"Cadillac SK, Canada"
2386,"Norway House Cree Nation Butterfly Lake B MB, Canada"
2387,"Gormley ON, Canada"
2388,"Brokenhead MB, Canada"
2389,"Grants Lake Game Bird Refuge MB, Canada"
2390,"Little Loon Lake Regional Park SK, Canada"
2391,"Trenton NS, Canada"
2392,"Campbellton NB, Canada"
2393,"McCraney No 282 SK, Canada"
2394,"Okanese 82 SK, Canada"
2395,"Fairmount SK, Canada"
2396,"Shoal River 65B MB, Canada"
2397,"Cree Lake 192G SK, Canada"
2398,"Bjorkdale No 426 SK, Canada"
2399,"Newby SK, Canada"
2400,"Enfin SK, Canada"
2401,"Ochapowace 71 2 SK, Canada"
2402,"Strathmore AB, Canada"
2403,"Carry The Kettle 76 22 SK, Canada"
2404,"Prospector MB, Canada"
2405,"Dana Recreation Site SK, Canada"
2406,"Moose Bay MB, Canada"
2407,"Log Valley SK, Canada"
2408,"Mildred SK, Canada"
2409,"Friedensruh MB, Canada"
2410,"Kakapawanis MB, Canada"
2411,"Grass River MB, Canada"
2412,"Antelope SK, Canada"
2413,"Roxboro QC, Canada"
2414,"Douglas NB, Canada"
2415,"Norge SK, Canada"
2416,"Ochapowace 71 44 SK, Canada"
2417,"Hackett Lake Recreation Site SK, Canada"
2418,"Kessock SK, Canada"
2419,"Comeau MB, Canada"
2420,"Lenswood MB, Canada"
2421,"Fergus ON, Canada"
2422,"Jackhead Harbour MB, Canada"
2423,"Sisipuk Sakahegan (B) MB, Canada"
2424,"Glenlea MB, Canada"
2425,"New Osgoode SK, Canada"
2426,"Stephenville Crossing NL, Canada"
2427,"Pisew Falls Provincial Park MB, Canada"
2428,"Hart MB, Canada"
2429,"Brumlie MB, Canada"
2430,"East Selkirk MB, Canada"
2431,"Berwick NS, Canada"
2432,"Cabri Regional Park SK, Canada"
2433,"Ochapowace 71 112 SK, Canada"
2434,"Opaskwayak Cree Nation 21N MB, Canada"
2435,"Hitchcock SK, Canada"
2436,"Birch Hills SK, Canada"
2437,"Vernon BC, Canada"
2438,"Ketchen SK, Canada"
2439,"Nelson Beach SK, Canada"
2440,"St Ambroise MB, Canada"
2441,"Utopia ON, Canada"
2442,"Prince Albert SK S6V OM9, Canada"
2443,"Lauder MB, Canada"
2444,"Mont Nebo SK, Canada"
2445,"Muskowekwan Reserve 85 68 SK, Canada"
2446,"Armstrong BC, Canada"
2447,"Griswold MB, Canada"
2448,"Kenaston SK, Canada"
2449,"Malmgren SK, Canada"
2450,"Nisbet Trails Recreation Site SK, Canada"
2451,"Vimy Ridge MB, Canada"
2452,"Ahtahkakoop 104 SK, Canada"
2453,"Ocean Man 69B SK, Canada"
2454,"Fairy Hill SK, Canada"
2455,"Tł’odį̀zeché MB, Canada"
2456,"Elm Springs SK, Canada"
2457,"Muskowekwan 85 45 SK, Canada"
2458,"Spruce Bluff MB, Canada"
2459,"Ochapowace 71 62 SK, Canada"
2460,"Pine Dock MB, Canada"
2461,"Norway House 17C 26 MB, Canada"
2462,"Central Business District SK, Canada"
2463,"Koko Platz MB, Canada"
2464,"Twin Lakes Beach MB, Canada"
2465,"East Kildonan   Transcona MB, Canada"
2466,"Manotick ON, Canada"
2467,"Grayson No 184 SK, Canada"
2468,"Lakeside No 338 SK, Canada"
2469,"Seton Provincial Park MB, Canada"
2470,"Rocky Lake Provincial Park MB, Canada"
2471,"Woodroyd MB, Canada"
2472,"Shoal River 65F MB, Canada"
2473,"Hainesville NB, Canada"
2474,"Keyes MB, Canada"
2475,"Kergwenan MB, Canada"
2476,"Vars ON, Canada"
2477,"Balgonie SK, Canada"
2478,"Basswood MB, Canada"
2479,"Kola MB, Canada"
2480,"Chase BC, Canada"
2481,"Arm River Recreation Site SK, Canada"
2482,"Foxford SK, Canada"
2483,"Ladysmith BC, Canada"
2484,"Hitchcock Bay SK, Canada"
2485,"Dunnottar MB, Canada"
2486,"Oro Station ON, Canada"
2487,"Paterson MB, Canada"
2488,"Climax SK, Canada"
2489,"St Jacobs ON, Canada"
2490,"St Peters Fishing Station 1A MB, Canada"
2491,"Spring Well MB, Canada"
2492,"Calder No 241 SK, Canada"
2493,"Wapisu Lake MB, Canada"
2494,"Pennfield NB, Canada"
2495,"Leross SK, Canada"
2496,"Weston MB, Canada"
2497,"Gladstone MB, Canada"
2498,"Le Pensie MB, Canada"
2499,"Cranmer MB, Canada"
2500,"Delmas SK, Canada"
2501,"Curtis MB, Canada"
2502,"Thalberg Bush Wildlife Management Area MB, Canada"
2503,"Ochapowace 71 96 SK, Canada"
2504,"Elrose Regional Park SK, Canada"
2505,"Kingsford SK, Canada"
2506,"Gambler 63 MB, Canada"
2507,"Cowan MB, Canada"
2508,"College Park East SK, Canada"
2509,"Muskowekwan 85 34 SK, Canada"
2510,"Lilydale SK, Canada"
2511,"Bazill Wildlife Refuge SK, Canada"
2512,"Bottle Lake 61B MB, Canada"
2513,"Ochapowace 71 129 SK, Canada"
2514,"Lyleton MB, Canada"
2515,"Carrot River SK, Canada"
2516,"Beardy's 97 and Okemasis 96 SK, Canada"
2517,"Ashbury MB, Canada"
2518,"Carry The Kettle 76 87 SK, Canada"
2519,"Nipekamew Sand Cliffs Protected Area SK, Canada"
2520,"Waterloo ON, Canada"
2521,"Ste Agathe MB, Canada"
2522,"Coldwell Park Recreation Site SK, Canada"
2523,"Grenfell Regional Park SK, Canada"
2524,"Falcon SK, Canada"
2525,"Foeda SK, Canada"
2526,"Sandilands MB, Canada"
2527,"Marsden Game Preserve SK, Canada"
2528,"Obushkudayang MB, Canada"
2529,"St Boniface MB, Canada"
2530,"Qualicum Beach BC, Canada"
2531,"Flee Island MB, Canada"
2532,"Flying Dust First Nation 105E SK, Canada"
2533,"Sperling MB, Canada"
2534,"Haylands 75A SK, Canada"
2535,"Swan River MB, Canada"
2536,"Eden Lake MB, Canada"
2537,"Wuskwi Sipihk 4 MB, Canada"
2538,"Burstall SK, Canada"
2539,"God's Lake Southeast Of Community MB, Canada"
2540,"Lena MB, Canada"
2541,"Tilston MB, Canada"
2542,"Chomedey QC, Canada"
2543,"Duck Lake Post MB, Canada"
2544,"Rathwell MB, Canada"
2545,"Maxstone SK, Canada"
2546,"Nutimik Lake MB, Canada"
2547,"Rennie MB, Canada"
2548,"Tu Txanį̀lį̀ni  MB, Canada"
2549,"Harrison Wildlife Management Area MB, Canada"
2550,"Monarchvale SK, Canada"
2551,"Lake Lenore SK, Canada"
2552,"Opaskwayak Cree Nation 21J MB, Canada"
2553,"Thaídaré MB, Canada"
2554,"Ste genevieve QC, Canada"
2555,"Jameson SK, Canada"
2556,"Guthrie ON, Canada"
2557,"Fusilier SK, Canada"
2558,"Fort Espérance National Historic Site of Canada SK, Canada"
2559,"Hockin MB, Canada"
2560,"Arm River No 252 SK, Canada"
2561,"Weesakachak MB, Canada"
2562,"Dauphin MB, Canada"
2563,"Marquette MB, Canada"
2564,"McBride Lake Recreation Site SK, Canada"
2565,"Rossmere MB, Canada"
2566,"Twin Lakes Provincial Park MB, Canada"
2567,"Wuskwi Sipihk First Nation 1 MB, Canada"
2568,"Oldenberg MB, Canada"
2569,"Lantz NS, Canada"
2570,"Greystone Heights SK, Canada"
2571,"Rat River Settlement MB, Canada"
2572,"Mistawasis 103D SK, Canada"
2573,"Charlottetown PE, Canada"
2574,"Krasne SK, Canada"
2575,"Peace River AB, Canada"
2576,"Lieu historique national du Canada des Monticules Linéaires MB, Canada"
2577,"Fir River Road Recreation Site SK, Canada"
2578,"Monahawuhkan MB, Canada"
2579,"Langruth Wildlife Management Area MB, Canada"
2580,"Cross Lake 19E MB, Canada"
2581,"Moore Dale MB, Canada"
2582,"Moose Range SK, Canada"
2583,"Etobicoke ON, Canada"
2584,"Arbury SK, Canada"
2585,"Gods Lake Narrows MB, Canada"
2586,"Hilltop MB, Canada"
2587,"Mallorytown ON, Canada"
2588,"Shell Valley MB, Canada"
2589,"Huntsville ON, Canada"
2590,"Findlater SK, Canada"
2591,"Glenburn Regional Park SK, Canada"
2592,"Notukeu SK, Canada"
2593,"English River Slush Lake 192Q SK, Canada"
2594,"Woodnorth MB, Canada"
2595,"Norway House 17C 34 MB, Canada"
2596,"Motherwell Homestead National Historic Site of Canada SK, Canada"
2597,"Grand Beach MB, Canada"
2598,"Lockport  MB, Canada"
2599,"King City ON, Canada"
2600,"Lone Spruce SK, Canada"
2601,"Laporte SK, Canada"
2602,"Ponemah MB, Canada"
2603,"Grand Rapids 33 MB, Canada"
2604,"Luazé Tuwé MB, Canada"
2605,"St Germain MB, Canada"
2606,"Norway House 17C 2 MB, Canada"
2607,"Glencross MB, Canada"
2608,"Carry The Kettle 76 8 SK, Canada"
2609,"Nesslin Lake Recreation Site SK, Canada"
2610,"Estevan Airport SK, Canada"
2611,"Lumsden No 189 SK, Canada"
2612,"Glasnevin SK, Canada"
2613,"Bangor SK, Canada"
2614,"Douglas Place SK, Canada"
2615,"Lockport Provincial Park MB, Canada"
2616,"Orangeville ON, Canada"
2617,"Red Deer Point Game Bird Refuge MB, Canada"
2618,"St Norbert MB, Canada"
2619,"Janusson Wildlife Refuge SK, Canada"
2620,"Heart's Hill No 352 SK, Canada"
2621,"Moss Spur MB, Canada"
2622,"Arma SK, Canada"
2623,"Marsden SK, Canada"
2624,"Gambler First Nation 63B MB, Canada"
2625,"Armour SK, Canada"
2626,"Burrows SK, Canada"
2627,"Middlebro MB, Canada"
2628,"Clarenville NL, Canada"
2629,"Lamque NB, Canada"
2630,"Ochapowace 71 29 SK, Canada"
2631,"St Vital MB, Canada"
2632,"Muskeg Lake 102K SK, Canada"
2633,"Norway House 17C 32 MB, Canada"
2634,"Millwood MB, Canada"
2635,"Thuycholeeni Lake B MB, Canada"
2636,"Great Deer SK, Canada"
2637,"Kilronan SK, Canada"
2638,"Ostenfeld MB, Canada"
2639,"Crescentwood MB, Canada"
2640,"Seech MB, Canada"
2641,"Halcyon Cove MB, Canada"
2642,"St quentin NB, Canada"
2643,"Buffalo Pound Lake Recreation Site SK, Canada"
2644,"Mystery Lake MB, Canada"
2645,"Thuycholeeni Lake A MB, Canada"
2646,"Gerald SK, Canada"
2647,"Zed Lake Provincial Park MB, Canada"
2648,"Moosomin 112M SK, Canada"
2649,"Shoal Lake 37A MB, Canada"
2650,"Lac la Ronge 156 SK, Canada"
2651,"Norway House 17C 17 MB, Canada"
2652,"St François Xavier MB, Canada"
2653,"Buckhorn ON, Canada"
2654,"Gledhow SK, Canada"
2655,"Westray MB, Canada"
2656,"Bay Roberts NL, Canada"
2657,"Fort Qu'appelle SK, Canada"
2658,"Neely Lake Bird Sanctuary SK, Canada"
2659,"Leacross SK, Canada"
2660,"Roslyn MB, Canada"
2661,"Cypress River MB, Canada"
2662,"Carry The Kettle 76 47 SK, Canada"
2663,"Opekanowi Sakaheykun MB, Canada"
2664,"Petit Rocher NB, Canada"
2665,"Gerald W Malaher Wildlife Management Area MB, Canada"
2666,"Carry The Kettle 76 75 SK, Canada"
2667,"Grand sault NB, Canada"
2668,"Lieu historique national du Canada du Fort Prince de Galles MB, Canada"
2669,"Mile 20 Second Revision MB, Canada"
2670,"Eastend SK, Canada"
2671,"North Transcona MB, Canada"
2672,"Cameo SK, Canada"
2673,"Muskowekwan 85 54 SK, Canada"
2674,"Conlin Lake Camp MB, Canada"
2675,"Peguis 1I MB, Canada"
2676,"Ocean Man 69F SK, Canada"
2677,"Linden Lanes MB, Canada"
2678,"Kirkcaldy Heights MB, Canada"
2679,"Ochapowace 71 14 SK, Canada"
2680,"Aweme MB, Canada"
2681,"Moose Bay SK, Canada"
2682,"M'Clintock MB, Canada"
2683,"Blumenort MB, Canada"
2684,"Main Centre SK, Canada"
2685,"Excelsior No 166 SK, Canada"
2686,"Cobalt ON, Canada"
2687,"Porcupine Plain SK, Canada"
2688,"Aneroid SK, Canada"
2689,"Deborah SK, Canada"
2690,"Lieu historique national du Canada du Fort Espérance SK, Canada"
2691,"Canterbury Park MB, Canada"
2692,"Glen Bay MB, Canada"
2693,"Baynham MB, Canada"
2694,"Elmwood MB, Canada"
2695,"Muskowekwan 85 39 SK, Canada"
2696,"Saint Jacques NB, Canada"
2697,"Ochapowace 71 16 SK, Canada"
2698,"Meota Regional Park SK, Canada"
2699,"Bush SK, Canada"
2700,"Lakeshore Heights MB, Canada"
2701,"Little Bullhead MB, Canada"
2702,"Basin and Middle Lakes Bird Sanctuary SK, Canada"
2703,"Contour MB, Canada"
2704,"Split Lake MB, Canada"
2705,"Simcoe ON, Canada"
2706,"Coteau du lac QC, Canada"
2707,"Dacotah MB, Canada"
2708,"Fairy Island Wildlife Refuge SK, Canada"
2709,"Isabella MB, Canada"
2710,"Steep Rock MB, Canada"
2711,"Mud Lake Wildlife Refuge SK, Canada"
2712,"Burnaby BC, Canada"
2713,"Canoe River SK, Canada"
2714,"Edrans MB, Canada"
2715,"Kilkenny MB, Canada"
2716,"Rivire La Truite NB, Canada"
2717,"Hillside Beach MB, Canada"
2718,"Collingwood ON, Canada"
2719,"Hallam SK, Canada"
2720,"Norquay SK, Canada"
2721,"Dankin SK, Canada"
2722,"Fertile SK, Canada"
2723,"Pine Creek 66A MB, Canada"
2724,"Huntoon SK, Canada"
2725,"Willen MB, Canada"
2726,"Sylvan MB, Canada"
2727,"Little Swan River SK, Canada"
2728,"Harlan SK, Canada"
2729,"Hughes Lake MB, Canada"
2730,"Normand Park MB, Canada"
2731,"Rivers MB, Canada"
2732,"Silver Falls MB, Canada"
2733,"Invermere BC, Canada"
2734,"Salmon Arm BC, Canada"
2735,"Ste Anne  MB, Canada"
2736,"Babcock MB, Canada"
2737,"Deer Creek SK, Canada"
2738,"Jan Lake Recreation Site SK, Canada"
2739,"Wuskwi Sipihk First Nation 3c MB, Canada"
2740,"Hole or Hollow Water 10 MB, Canada"
2741,"Glen Kerr SK, Canada"
2742,"Claydon SK, Canada"
2743,"McDonald MB, Canada"
2744,"Lily Plain SK, Canada"
2745,"Montcalm MB, Canada"
2746,"Shoal Lake 40 MB, Canada"
2747,"Battle Creek SK, Canada"
2748,"Utterson ON, Canada"
2749,"Hartney Junction MB, Canada"
2750,"Marystown NL, Canada"
2751,"Sheila NB, Canada"
2752,"Roseau River Reserve MB, Canada"
2753,"Deepdale MB, Canada"
2754,"Saskeram Wildlife Management Area MB, Canada"
2755,"Less Crossing MB, Canada"
2756,"Atton's Lake Regional Park SK, Canada"
2757,"Chicken 224 SK, Canada"
2758,"Carry The Kettle 76 13 SK, Canada"
2759,"Maple Ridge BC, Canada"
2760,"Sainte Rose NB, Canada"
2761,"Hazelwood SK, Canada"
2762,"Fremantle SK, Canada"
2763,"Chemong SK, Canada"
2764,"Stockton MB, Canada"
2765,"Riverdale MB, Canada"
2766,"Casa Rio SK, Canada"
2767,"Grant No 372 SK, Canada"
2768,"Jayjay Lake Recreation Site SK, Canada"
2769,"Pierson MB, Canada"
2770,"Claw Lake MB, Canada"
2771,"Cypress Hills Provincial Forest SK, Canada"
2772,"St Paul MB, Canada"
2773,"Squamish BC, Canada"
2774,"Reedy Creek MB, Canada"
2775,"Concord ON, Canada"
2776,"Sewell MB, Canada"
2777,"Frenchman Butte National Historic Site of Canada SK, Canada"
2778,"Muskowekwan 85 23 SK, Canada"
2779,"Montgomery Place SK, Canada"
2780,"Muskowekwan 85 65 SK, Canada"
2781,"Dog Creek 46 MB, Canada"
2782,"St Pierre Sud MB, Canada"
2783,"Beatty SK, Canada"
2784,"Duff Recreation Site SK, Canada"
2785,"Melita MB, Canada"
2786,"Trenton ON, Canada"
2787,"Sydney NS, Canada"
2788,"Kings Park MB, Canada"
2789,"Caribou Heights SK, Canada"
2790,"Timberlea NS, Canada"
2791,"Grandora SK, Canada"
2792,"Bayend MB, Canada"
2793,"Assiniboia Regional Park SK, Canada"
2794,"Gravelbourg Junction SK, Canada"
2795,"Nisku Wildlife Refuge SK, Canada"
2796,"Coxheath NS, Canada"
2797,"Emerald Lake Regional Park SK, Canada"
2798,"Carlisle ON, Canada"
2799,"Devil Lake Recreation Site SK, Canada"
2800,"Weyburn SK, Canada"
2801,"McPhail Cove SK, Canada"
2802,"Canwood Regional Park SK, Canada"
2803,"Faloma MB, Canada"
2804,"Carry The Kettle 76 70 SK, Canada"
2805,"Clarence   Steepbank Lakes Provincial Park SK, Canada"
2806,"Stuartburn MB, Canada"
2807,"Thibaudeau MB, Canada"
2808,"Azilda ON, Canada"
2809,"Grizzly Bear's Head 110 and Lean Man 111 SK, Canada"
2810,"Holmfield Wildlife Management Area MB, Canada"
2811,"Clearwater River Dene Band 223 SK, Canada"
2812,"Millerdale SK, Canada"
2813,"Okanese 82(EE) SK, Canada"
2814,"Saint Louis De Kent NB, Canada"
2815,"Sans Souci MB, Canada"
2816,"Tusket NS, Canada"
2817,"Cut Knife SK, Canada"
2818,"Frenchman River Wildlife Refuge SK, Canada"
2819,"Lake St Andrew Provincial Park MB, Canada"
2820,"Gull Lake No 139 SK, Canada"
2821,"Inkster SK, Canada"
2822,"Middle Lake SK, Canada"
2823,"Craven SK, Canada"
2824,"Antelope Wildlife Management Unit SK, Canada"
2825,"Newmarket ON, Canada"
2826,"Monchy SK, Canada"
2827,"Coalfields SK, Canada"
2828,"Kamaskawak MB, Canada"
2829,"Norway House 17C 46 MB, Canada"
2830,"Ochapowace 71 103 SK, Canada"
2831,"Fernie BC, Canada"
2832,"Dinsmore SK, Canada"
2833,"Chipperfield SK, Canada"
2834,"The Narrows MB, Canada"
2835,"Lake Park SK, Canada"
2836,"Davin SK, Canada"
2837,"Somme MB, Canada"
2838,"Ministikwan 161A SK, Canada"
2839,"Atkinson Lake B MB, Canada"
2840,"Westwin MB, Canada"
2841,"Beaver/Cowan Rivers Recreation Site SK, Canada"
2842,"Aldina SK, Canada"
2843,"Greyson Industrial Park SK, Canada"
2844,"Glen Elmo MB, Canada"
2845,"Bloodvein River MB, Canada"
2846,"The Maples MB, Canada"
2847,"Indian Bay MB, Canada"
2848,"Green Bay MB, Canada"
2849,"Sisipuk Sakahegan (A) MB, Canada"
2850,"Cormorant MB, Canada"
2851,"Lipton SK, Canada"
2852,"Baldy MB, Canada"
2853,"Muskowekwan 85 30 SK, Canada"
2854,"Carry The Kettle 76 62 SK, Canada"
2855,"Scarborough ON, Canada"
2856,"Moostissoostikwan MB, Canada"
2857,"Decker MB, Canada"
2858,"Skylake MB, Canada"
2859,"Lintlaw SK, Canada"
2860,"Pope MB, Canada"
2861,"Gilbert Plains MB, Canada"
2862,"Surrey BC, Canada"
2863,"Crane Valley SK, Canada"
2864,"Hoodoo No 401 SK, Canada"
2865,"Dunfermline SK, Canada"
2866,"Wesleyville NL, Canada"
2867,"Abernethy No 186 SK, Canada"
2868,"Kildonan MB, Canada"
2869,"Foxwarren MB, Canada"
2870,"Lorne MB, Canada"
2871,"Finnie SK, Canada"
2872,"Marquis No 191 SK, Canada"
2873,"Burgis SK, Canada"
2874,"Ebenezer SK, Canada"
2875,"Maryfield SK, Canada"
2876,"Norway House Cree Nation Gunisao Sipihk Sawanohk MB, Canada"
2877,"Edenburg MB, Canada"
2878,"Macrorie SK, Canada"
2879,"Winsloe South PE, Canada"
2880,"Glenwood NL, Canada"
2881,"Opaskwayak Cree Nation 21A MB, Canada"
2882,"Court SK, Canada"
2883,"Markland MB, Canada"
2884,"Whittier MB, Canada"
2885,"Clemenceau SK, Canada"
2886,"Calgary AB, Canada"
2887,"Kingsclear First Nation NB, Canada"
2888,"Coriander SK, Canada"
2889,"Ferland SK, Canada"
2890,"Justice MB, Canada"
2891,"Glenellen SK, Canada"
2892,"Lucien Lake Regional Park SK, Canada"
2893,"Vestfold MB, Canada"
2894,"Wetikoweskwattam MB, Canada"
2895,"Mukwa Narrows MB, Canada"
2896,"Kelfield SK, Canada"
2897,"Bone Creek No 108 SK, Canada"
2898,"Deer Valley SK, Canada"
2899,"Homebrook MB, Canada"
2900,"Adanac SK, Canada"
2901,"Optic Lake MB, Canada"
2902,"Val Caron ON, Canada"
2903,"Old Altona MB, Canada"
2904,"Park MB, Canada"
2905,"Gypsumville Wildlife Management Area MB, Canada"
2906,"Gardenton MB, Canada"
2907,"Elmhurst MB, Canada"
2908,"Coldwell MB, Canada"
2909,"Keeseekoose 66 Ke 05 SK, Canada"
2910,"Ava SK, Canada"
2911,"St Georges MB, Canada"
2912,"Eastern Passage NS, Canada"
2913,"Deschambault Lake SK, Canada"
2914,"Big Stick No 141 SK, Canada"
2915,"Cypress Hills Provincial Park SK, Canada"
2916,"Kinusisipi MB, Canada"
2917,"St Lazare MB, Canada"
2918,"Walkerburn MB, Canada"
2919,"Lunenburg NS, Canada"
2920,"Dollard SK, Canada"
2921,"Embrun ON, Canada"
2922,"Oak Lake Reserve MB, Canada"
2923,"Elstow SK, Canada"
2924,"Grand Barachois NB, Canada"
2925,"Coulter MB, Canada"
2926,"Ochapowace 71 41 SK, Canada"
2927,"Lieu historique national du Canada de Batoche SK, Canada"
2928,"Moseley SK, Canada"
2929,"Mowbray MB, Canada"
2930,"Neelin MB, Canada"
2931,"Andrew Bay MB, Canada"
2932,"Minnewakan MB, Canada"
2933,"Macklin Lake Regional Park SK, Canada"
2934,"Leask SK, Canada"
2935,"Woodridge Provincial Park MB, Canada"
2936,"Egg Lake 1 MB, Canada"
2937,"Mayfield No 406 SK, Canada"
2938,"Kingsley MB, Canada"
2939,"Ceylon Regional Park SK, Canada"
2940,"Bowsman MB, Canada"
2941,"Sidney MB, Canada"
2942,"Fishing Lake Regional Park (Golf Course) SK, Canada"
2943,"Pelican Rapids MB, Canada"
2944,"Pickering ON, Canada"
2945,"James Smith 100 SK, Canada"
2946,"Stony Hill MB, Canada"
2947,"River Hills MB, Canada"
2948,"Adams SK, Canada"
2949,"Muskowekwan 85 26 SK, Canada"
2950,"Hyas SK, Canada"
2951,"Crooked River SK, Canada"
2952,"Lockport MB, Canada"
2953,"Peguis 1C MB, Canada"
2954,"Junor SK, Canada"
2955,"Mount Pearl NL, Canada"
2956,"Jasper ON, Canada"
2957,"Makwa Lake 129A SK, Canada"
2958,"Hyde SK, Canada"
2959,"Dahlton SK, Canada"
2960,"Erinferry SK, Canada"
2961,"Fort Frances ON, Canada"
2962,"Sasagiu Rapids Provincial Park MB, Canada"
2963,"Rosenfeld MB, Canada"
2964,"Northwest Point MB, Canada"
2965,"Grasswoods 192J SK, Canada"
2966,"Ste Rose du Lac MB, Canada"
2967,"Grand Valley ON, Canada"
2968,"St Claude MB, Canada"
2969,"Davis Point MB, Canada"
2970,"South Beach MB, Canada"
2971,"Carry The Kettle 76 17 SK, Canada"
2972,"Ada SK, Canada"
2973,"Cape Tatnam Wildlife Management Area MB, Canada"
2974,"Beaver River Recreation Site SK, Canada"
2975,"Matawak MB, Canada"
