,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
169,102399,(204) 730-0338,Westman Region,WESTMAN,SHILO,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
170,102399,(204) 730-0338,Westman Region,WESTMAN,SHILO,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
171,100439,(204) 268-9229,Eastman Region,EASTMAN,BEAUSEJOUR,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
172,100439,(204) 268-9229,Eastman Region,EASTMAN,BEAUSEJOUR,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
173,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
174,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
175,102443,(204) 677-3247,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
176,102443,(204) 677-3247,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
177,102270,(204) 793-8863,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
178,102270,(204) 793-8863,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
179,102580,(204) 793-1449,Eastman Region,EASTMAN,LORETTE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
180,102580,(204) 793-1449,Eastman Region,EASTMAN,LORETTE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
181,102518,(204) 739-5543,Interlake Region,INTERLAKE,ERIKSDALE,LAKESHORE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
182,102518,(204) 739-5543,Interlake Region,INTERLAKE,ERIKSDALE,LAKESHORE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
183,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
184,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
185,7847,(204) 757-7952,Interlake Region,INTERLAKE,LOCKPORT,,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
186,7847,(204) 757-7952,Interlake Region,INTERLAKE,LOCKPORT,,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
187,1224,(204) 448-2133,Parkland,PARKLAND,EBB & FLOW,FRONTIER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,35,"261 Arena  Road Ebb & Flow, MB ",Ka-Ka-Kwe-Ke-Je-Ong Day Care Centre Inc.
188,101553,(204) 627-8550,NORTHERN,NORMAN,THE PAS,KELSEY SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"University College of the North 490 7th Street E The Pas, MB",Kanawenimawasowin Child Care Centre Inc
189,101615,(204) 268-1127,Eastman Region,EASTMAN,BEAUSEJOUR,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Karla Pearase
190,7832,(204) 354-2217,Westman Region,WESTMAN,BROOKDALE,BEAUTIFUL PLAINS SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
191,7832,(204) 354-2217,Westman Region,WESTMAN,BROOKDALE,BEAUTIFUL PLAINS SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
192,100857,(204) 878-3604,Eastman Region,EASTMAN,ILE DES CHENES,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Kathryn Beauchemin
193,101004,(204) 205-2647,Eastman Region,EASTMAN,BEAUSEJOUR,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
194,101004,(204) 205-2647,Eastman Region,EASTMAN,BEAUSEJOUR,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
195,101604,(204) 867-5523,Westman Region,WESTMAN,MINNEDOSA,ROLLING RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Kayla Graham
196,1287,(204) 677-4148,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Centre,"Infant, Preschool, School Age",Weekdays,16,"32 Nelson Road Thompson, MB ",Keewatinowi Awasisak Opi-Ki-Wak Inc.
197,101682,(204) 513-0038,Interlake Region,INTERLAKE,STONEWALL,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Kelsey Pattie
198,9767,(204) 444-2345,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
199,9767,(204) 444-2345,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
200,1118,(204) 523-8940,Westman Region,WESTMAN,KILLARNEY,TURTLE MOUNTAIN SCHOOL DIVISION,Centre,"Infant, Preschool",Weekdays,40,"711 Mountain Avenue (Ave) KILLARNEY, MB ",Kiddie Corner Early Learning Centre Inc.
201,1079,(204) 324-5369,Central Region,CENTRAL,ALTONA,BORDERLAND SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age","Weekdays, Evenings",49,"54 Centre Avenue (Ave) W Altona, MB ",Kiddie Sunshine Centre Inc.
202,2056,(204) 778-7739,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,70,"Room 129, 130,132 and 133 101 Beaver Crescent Thompson, MB",Kiddies Northern Preschool Inc.
203,100945,(204) 564-2477,Westman Region,WESTMAN,RUSSELL,PARK WEST SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,12,"Inglis School 400 PR 366  Inglis, MB",Kids First Early Learning Centre Inc.
204,100201,(204) 746-3504,Central Region,CENTRAL,MORRIS,RED RIVER VALLEY SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,33,"Baptist Church-basement/gym/Sun sch rm   162 Railroad  Avenue (Ave) W Morris, MB",Busy Nest Day Care Inc.
205,2078,(204) 523-1566,Westman Region,WESTMAN,KILLARNEY,TURTLE MOUNTAIN SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,15,"rm. 53 - 417 King Avenue (Ave) Killarney, MB ",Killarney Nursery School Inc.
206,9801,(204) 623-4426,NORTHERN,NORMAN,THE PAS,KELSEY SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,9,None,Family or Group Child  Care Home *
207,9801,(204) 623-4426,NORTHERN,NORMAN,THE PAS,KELSEY SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,9,None,Family or Group Child  Care Home *
208,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
209,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
210,101508,(204) 326-2503,Eastman Region,EASTMAN,STEINBACH,HANOVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,67,"Clearspring Middle School  MPR,Gym  1 Brighton Lane Steinbach, MB",Kinder Korner Early Learning Centre Inc
211,101865,(204) 326-9976,Eastman Region,EASTMAN,STEINBACH,HANOVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"SRSS  MPR, gym , rooms 162 & 164  190 McKenzie Avenue (Ave) Steinbach, MB",Kinder Korner Early Learning Centre Inc
212,1102,(204) 326-9976,Eastman Region,EASTMAN,STEINBACH,HANOVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,42,"307 Hanover Street Steinbach, MB ",Kinder Korner Early Learning Centre Inc.
213,101858,(204) 727-4210,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Unit B - 1129 3rd Street Brandon, MB ",Brandon Friendship Centre Inc.
214,9766,(204) 728-9041,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,36,"836 Lorne Avenue (Ave) Brandon, MB ",Brandon Friendship Centre
215,102372,(204) 548-2413,Parkland,PARKLAND,GILBERT PLAINS,MOUNTAIN VIEW SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
216,102372,(204) 548-2413,Parkland,PARKLAND,GILBERT PLAINS,MOUNTAIN VIEW SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
217,101534,(204) 793-8314,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Kristen Kashuba
218,1295,(204) 248-2315,Central Region,CENTRAL,NOTRE DAME DE LOURDES,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,65,"123 Rogers rue Notre Dame De Lourdes, MB ",La Garderie Arc-en-Ciel Inc.
219,102526,(204) 736-4789,Central Region,CENTRAL,LA SALLE,SEINE RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"41 Beaudry rue La Salle, MB ",La Salle Kidz Inc.
220,101791,(204) 736-2520,Central Region,CENTRAL,LA SALLE,SEINE RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"90 PR 247 East La Salle, MB",La Salle KIDZ Inc.
221,1098,(204) 345-2608,Eastman Region,EASTMAN,LAC DU BONNET,SUNRISE SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,70,"Centennial School  science room,gym  285 Mcarthur Avenue (Ave) Lac Du Bonnet, MB",Lac du Bonnet Children's Centre Inc.
222,101487,(204) 867-2818,Westman Region,WESTMAN,MINNEDOSA,ROLLING RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
223,101487,(204) 867-2818,Westman Region,WESTMAN,MINNEDOSA,ROLLING RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
224,1253,(204) 445-2360,Central Region,CENTRAL,LANGRUTH,PINE CREEK SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,20,"407 Main Street Langruth, MB ",Childcare - Family Access Network Inc.
225,102325,(204) 355-9515,Eastman Region,EASTMAN,LANDMARK,HANOVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,20,"Room A58 and the Kinsmen Centre   177 Second  Street E Landmark , MB",Landmark Child Care Inc
226,101218,(204) 500-9885,Eastman Region,EASTMAN,LORETTE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
227,101218,(204) 500-9885,Eastman Region,EASTMAN,LORETTE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
228,9685,(204) 447-3009,Parkland,PARKLAND,LAURIER,TURTLE RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,20,"159 Fosberry Street Laurier, MB ",Childcare - Family Access Network Inc.
229,100601,(204) 882-2418,Eastman Region,EASTMAN,STE. AGATHE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,77,"Ecole Ste Agathe  salle 027 , gymnase 310 Pembina Trail Ste. Agathe, MB",Le Coin Magique Inc
230,100375,(204) 765-2790,Westman Region,WESTMAN,SHILO,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,45,"Ecole La Source T-102 Saint Barbara Avenue (Ave) Shilo , MB",La Garderie cooperative de Les Amis de La Source Inc.
231,2303,(204) 878-2147 Ext. 1022,Eastman Region,EASTMAN,ILE DES CHENES,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,31,"ÉCRGR - salles 107, 158,gymnase  310 A   Lamoureux  chemin Ile Des Chenes, MB",Les Boutons d'Or Inc.
232,2330,(204) 878-3144,Eastman Region,EASTMAN,LORETTE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,64,"Ecole Lagimodiere CPEF, salle113, gym  361 Senez Street Lorette, MB",Les Chouettes de Lorette Inc.
233,102152,(204) 778-8699,NORTHERN,THOMPSON,THOMPSON,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,20,"garderie, gymnase, salle poly., biblio. 271 Chemin Weir rue Thompson, MB",La Garderie De La Voie Du Nord Inc.
234,100390,(204) 424-5155,Eastman Region,EASTMAN,LA BROQUERIE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,98,"ESJ-salle 100,122,124,126A&B,128,130,141 29 Normandeau Bay LaBroquerie, MB",La Garderie Les P'tits Brisous Inc.
235,102452,(204) 367-1683,Eastman Region,EASTMAN,ST. GEORGES,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,16,"ECSG- salle: 02, 06 & 14 14 Caron Bay St Georges, MB",Les P'tits Loups Inc
236,1078,(204) 433-7976,Eastman Region,EASTMAN,ST. PIERRE JOLYS,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,96,"ECRB 115,117,biblio,gym 377 Sabourin  rue St. Pierre Jolys, MB",Garderie Jolys Coop Inc.
237,2332,(204) 646-4125,Interlake Region,INTERLAKE,ST. LAURENT,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,47,"(centre,gym,library,mpr,dist. ed,music) 446 Veterans Memorial  Road St. Laurent, MB",Les Petits Dores Incorporee
238,102466,(204) 480-2713,Eastman Region,EASTMAN,LORETTE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,24,"Centre Pointe Mall  8 - 1321 Dawson Road Lorette, MB",Les Petits Génies Corporation
239,100413,(204) 878-4357,Eastman Region,EASTMAN,ILE DES CHENES,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"608 Lacroix Avenue (Ave) Ile des Chenes, MB ",Linda Jurkiw
240,3045,(204) 728-1749,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"32 Willowdale Crescent Brandon, MB ",Linden's Kid's Klub Inc.
241,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
242,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
243,102421,(204) 371-3920,Eastman Region,EASTMAN,STEINBACH,HANOVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
244,102421,(204) 371-3920,Eastman Region,EASTMAN,STEINBACH,HANOVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
245,9777,(204) 294-2901,Eastman Region,EASTMAN,LORETTE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"129 St. Michael's Crescent Lorette, MB ",Lisa Morton
246,101168,(204) 532-2296,Westman Region,WESTMAN,BINSCARTH,PARK WEST SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,12,"242 Russell  Street Binscarth , MB ",Little Bloomers' Learning Patch Inc.
247,2318,(204) 345-2861,Eastman Region,EASTMAN,LAC DU BONNET,SUNRISE SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,20,"40 Park Avenue (Ave) Lac Du Bonnet, MB ",Little Day Buddies Co-op Inc.
248,9291,(204) 623-4068,NORTHERN,NORMAN,THE PAS,KELSEY SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"Margaret Barbour Collegiate 429 Smith Street The Pas, MB",Little Dreamers Day Care Inc.
249,102394,(431) 399-0122,Westman Region,WESTMAN,ERICKSON,ROLLING RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"34 Main  Street Erickson, MB ",Clanwilliam-Erickson Childcare Initiative
250,1280,(204) 639-2596,NORTHERN,NORMAN,GRAND RAPIDS,FRONTIER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"Grand Rapids School Lot 11 Grand Rapids  Drive Grand Rapids, MB",Little Minnow Day Care Inc.
251,100684,(204) 383-5312,Interlake Region,INTERLAKE,WOODLANDS,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
252,100684,(204) 383-5312,Interlake Region,INTERLAKE,WOODLANDS,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
253,9150,(204) 218-5521,Interlake Region,INTERLAKE,STONY MOUNTAIN,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
254,9150,(204) 218-5521,Interlake Region,INTERLAKE,STONY MOUNTAIN,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
255,1089,(204) 762-5278,Interlake Region,INTERLAKE,LUNDAR,LAKESHORE SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,38,"Lundar School 36 1st  Street S Lundar, MB",Lundar Day Care Inc.
256,100458,(204) 785-9342,Interlake Region,INTERLAKE,SELKIRK,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
257,100458,(204) 785-9342,Interlake Region,INTERLAKE,SELKIRK,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
258,101556,(204) 677-0335,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Centre,"Infant, Preschool, School Age",Weekdays,36,"Multipurpose Room 23 Beaver Crescent Thompson, MB","Ma-Mow-We-Tak Friendship Centre, Inc"
259,101520,(204) 422-8126,Eastman Region,EASTMAN,STE. ANNE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
260,101520,(204) 422-8126,Eastman Region,EASTMAN,STE. ANNE,SEINE RIVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
261,100579,(204) 638-3612,Parkland,PARKLAND,DAUPHIN,MOUNTAIN VIEW SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,52,"135 6th Avenue (Ave) SW Dauphin, MB ",Dauphin Magical Horizons Day Care Center Inc.
262,9321,(204) 728-3275,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"911 26th Street Brandon, MB ",Magical Memories Learning Centre Inc.
263,101686,(204) 444-3690,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
264,101686,(204) 444-3690,Eastman Region,EASTMAN,OAKBANK,SUNRISE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
265,9242,(204) 242-3484,Central Region,CENTRAL,MANITOU,PRAIRIE SPIRIT SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,50,"516 Souris Avenue (Ave) Manitou, MB ",Pembina Valley Child Care Centres Inc.
266,50274,(204) 482-4030,Interlake Region,INTERLAKE,SELKIRK,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
267,50274,(204) 482-4030,Interlake Region,INTERLAKE,SELKIRK,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
268,100285,(204) 485-6237,Interlake Region,INTERLAKE,ST. ANDREWS,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Weekends",8,None,Family or Group Child  Care Home *
269,100285,(204) 485-6237,Interlake Region,INTERLAKE,ST. ANDREWS,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Weekends",8,None,Family or Group Child  Care Home *
270,9855,(204) 778-6383,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
271,9855,(204) 778-6383,NORTHERN,THOMPSON,THOMPSON,MYSTERY LAKE SCHOOL DISTRICT,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
272,101154,(204) 325-8822,Central Region,CENTRAL,WINKLER,GARDEN VALLEY SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
273,101154,(204) 325-8822,Central Region,CENTRAL,WINKLER,GARDEN VALLEY SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
274,2075,(204) 623-6006,NORTHERN,NORMAN,THE PAS,KELSEY SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,62,"Room #12, 14 Opasquia School 27 8th Street W The Pas, MB",Marigold Preschool Centre Inc.
275,9632,(204) 383-5371,Interlake Region,INTERLAKE,WOODLANDS,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
276,9632,(204) 383-5371,Interlake Region,INTERLAKE,WOODLANDS,INTERLAKE SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
277,101808,(204) 898-6700,Eastman Region,EASTMAN,BLUMENORT,HANOVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
278,101808,(204) 898-6700,Eastman Region,EASTMAN,BLUMENORT,HANOVER SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
279,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
280,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
281,102641,(204) 724-0131,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,"11 Dominion Way Brandon, MB ",Megan and Dustin Van Damme
282,101952,(204) 638-7240,Parkland,PARKLAND,DAUPHIN,MOUNTAIN VIEW SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
283,101952,(204) 638-7240,Parkland,PARKLAND,DAUPHIN,MOUNTAIN VIEW SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
284,102159,(204) 952-1924,Eastman Region,EASTMAN,VICTORIA BEACH,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
285,102159,(204) 952-1924,Eastman Region,EASTMAN,VICTORIA BEACH,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
286,101812,(204) 417-1749,Interlake Region,INTERLAKE,ST. ANDREWS,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
287,101812,(204) 417-1749,Interlake Region,INTERLAKE,ST. ANDREWS,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
288,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
289,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
290,101836,(204) 641-1036,Interlake Region,INTERLAKE,GIMLI,EVERGREEN SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
291,101836,(204) 641-1036,Interlake Region,INTERLAKE,GIMLI,EVERGREEN SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
292,101057,(204) 483-6239,Westman Region,WESTMAN,MELITA,SOUTH WEST HORIZON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",20,"Melita School 125 North Street Melita, MB",Melita Early Learning Centre Inc.
293,7977,(204) 435-2725,Central Region,CENTRAL,MIAMI,PRAIRIE ROSE SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Weekends",28,"405 Oak Avenue (Ave) Miami, MB ",Miami Children's Facility Inc.
294,9133,(204) 338-7476,Interlake Region,INTERLAKE,ST. ANDREWS,LORD SELKIRK SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
